"train_number","date","station","departure_delay","delay_change"
"Ex 42","2026-03-04","Liptovský Mikuláš",23,-3
"Ex 42","2026-03-04","Ružomberok",23,0
"Ex 42","2026-03-04","Kraľovany",23,0
"Ex 42","2026-03-04","Vrútky",23,0
"Ex 42","2026-03-04","Žilina",21,-2
"Ex 42","2026-03-04","Považská Bystrica",21,0
"Ex 42","2026-03-04","Púchov",20,-1
"Ex 42","2026-03-04","Trenčín",20,0
"Ex 42","2026-03-04","Trnava",19,-1
"Ex 42","2026-03-04","Bratislava-Vinohrady",16,-3
"Ex 42","2026-03-04","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-05","Košice",0,NULL
"Ex 42","2026-03-05","Kysak",0,0
"Ex 42","2026-03-05","Margecany",0,0
"Ex 42","2026-03-05","Spišská Nová Ves",0,0
"Ex 42","2026-03-05","Poprad-Tatry",0,0
"Ex 42","2026-03-05","Štrba",23,23
"Ex 42","2026-03-05","Liptovský Mikuláš",22,-1
"Ex 42","2026-03-05","Ružomberok",20,-2
"Ex 42","2026-03-05","Kraľovany",19,-1
"Ex 42","2026-03-05","Vrútky",18,-1
"Ex 42","2026-03-05","Žilina",15,-3
"Ex 42","2026-03-05","Považská Bystrica",14,-1
"Ex 42","2026-03-05","Púchov",14,0
"Ex 42","2026-03-05","Trenčín",14,0
"Ex 42","2026-03-05","Trnava",12,-2
"Ex 42","2026-03-05","Bratislava-Vinohrady",11,-1
"Ex 42","2026-03-05","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-06","Košice",4,NULL
"Ex 42","2026-03-06","Kysak",2,-2
"Ex 42","2026-03-06","Margecany",10,8
"Ex 42","2026-03-06","Spišská Nová Ves",7,-3
"Ex 42","2026-03-06","Poprad-Tatry",6,-1
"Ex 42","2026-03-06","Štrba",5,-1
"Ex 42","2026-03-06","Liptovský Mikuláš",5,0
"Ex 42","2026-03-06","Ružomberok",4,-1
"Ex 42","2026-03-06","Kraľovany",3,-1
"Ex 42","2026-03-06","Vrútky",67,64
"Ex 42","2026-03-06","Žilina",64,-3
"Ex 42","2026-03-06","Považská Bystrica",63,-1
"Ex 42","2026-03-06","Púchov",62,-1
"Ex 42","2026-03-06","Trenčín",59,-3
"Ex 42","2026-03-06","Trnava",58,-1
"Ex 42","2026-03-06","Bratislava-Vinohrady",55,-3
"Ex 42","2026-03-06","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-07","Košice",0,NULL
"Ex 42","2026-03-07","Kysak",0,0
"Ex 42","2026-03-07","Margecany",13,13
"Ex 42","2026-03-07","Spišská Nová Ves",13,0
"Ex 42","2026-03-07","Poprad-Tatry",10,-3
"Ex 42","2026-03-07","Štrba",10,0
"Ex 42","2026-03-07","Liptovský Mikuláš",14,4
"Ex 42","2026-03-07","Ružomberok",14,0
"Ex 42","2026-03-07","Kraľovany",13,-1
"Ex 42","2026-03-07","Vrútky",12,-1
"Ex 42","2026-03-07","Žilina",11,-1
"Ex 42","2026-03-07","Považská Bystrica",10,-1
"Ex 42","2026-03-07","Púchov",8,-2
"Ex 42","2026-03-07","Trenčín",8,0
"Ex 42","2026-03-07","Trnava",6,-2
"Ex 42","2026-03-07","Bratislava-Vinohrady",3,-3
"Ex 42","2026-03-07","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-08","Košice",0,NULL
"Ex 42","2026-03-08","Kysak",0,0
"Ex 42","2026-03-08","Margecany",5,5
"Ex 42","2026-03-08","Spišská Nová Ves",5,0
"Ex 42","2026-03-08","Poprad-Tatry",5,0
"Ex 42","2026-03-08","Štrba",60,55
"Ex 42","2026-03-08","Liptovský Mikuláš",58,-2
"Ex 42","2026-03-08","Ružomberok",78,20
"Ex 42","2026-03-08","Kraľovany",76,-2
"Ex 42","2026-03-08","Vrútky",76,0
"Ex 42","2026-03-08","Žilina",76,0
"Ex 42","2026-03-08","Považská Bystrica",76,0
"Ex 42","2026-03-08","Púchov",76,0
"Ex 42","2026-03-08","Trenčín",73,-3
"Ex 42","2026-03-08","Trnava",72,-1
"Ex 42","2026-03-08","Bratislava-Vinohrady",71,-1
"Ex 42","2026-03-08","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-09","Košice",0,NULL
"Ex 42","2026-03-09","Kysak",56,56
"Ex 42","2026-03-09","Margecany",53,-3
"Ex 42","2026-03-09","Spišská Nová Ves",53,0
"Ex 42","2026-03-09","Poprad-Tatry",51,-2
"Ex 42","2026-03-09","Štrba",50,-1
"Ex 42","2026-03-09","Liptovský Mikuláš",48,-2
"Ex 42","2026-03-09","Ružomberok",45,-3
"Ex 42","2026-03-09","Kraľovany",45,0
"Ex 42","2026-03-09","Vrútky",45,0
"Ex 42","2026-03-09","Žilina",42,-3
"Ex 42","2026-03-09","Považská Bystrica",42,0
"Ex 42","2026-03-09","Púchov",42,0
"Ex 42","2026-03-09","Trenčín",39,-3
"Ex 42","2026-03-09","Trnava",36,-3
"Ex 42","2026-03-09","Bratislava-Vinohrady",35,-1
"Ex 42","2026-03-09","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-11","Košice",0,NULL
"Ex 42","2026-03-11","Kysak",0,0
"Ex 42","2026-03-11","Margecany",2,2
"Ex 42","2026-03-11","Spišská Nová Ves",2,0
"Ex 42","2026-03-11","Poprad-Tatry",1,-1
"Ex 42","2026-03-11","Štrba",4,3
"Ex 42","2026-03-11","Liptovský Mikuláš",3,-1
"Ex 42","2026-03-11","Ružomberok",1,-2
"Ex 42","2026-03-11","Kraľovany",1,0
"Ex 42","2026-03-11","Vrútky",7,6
"Ex 42","2026-03-11","Žilina",6,-1
"Ex 42","2026-03-11","Považská Bystrica",8,2
"Ex 42","2026-03-11","Púchov",8,0
"Ex 42","2026-03-11","Trenčín",6,-2
"Ex 42","2026-03-11","Trnava",6,0
"Ex 42","2026-03-11","Bratislava-Vinohrady",6,0
"Ex 42","2026-03-11","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-12","Košice",4,NULL
"Ex 42","2026-03-12","Kysak",4,0
"Ex 42","2026-03-12","Margecany",1,-3
"Ex 42","2026-03-12","Spišská Nová Ves",25,24
"Ex 42","2026-03-12","Poprad-Tatry",23,-2
"Ex 42","2026-03-12","Štrba",23,0
"Ex 42","2026-03-12","Liptovský Mikuláš",20,-3
"Ex 42","2026-03-12","Ružomberok",19,-1
"Ex 42","2026-03-12","Kraľovany",19,0
"Ex 42","2026-03-12","Vrútky",17,-2
"Ex 42","2026-03-12","Žilina",16,-1
"Ex 42","2026-03-12","Považská Bystrica",14,-2
"Ex 42","2026-03-12","Púchov",11,-3
"Ex 42","2026-03-12","Trenčín",9,-2
"Ex 42","2026-03-12","Trnava",7,-2
"Ex 42","2026-03-12","Bratislava-Vinohrady",5,-2
"Ex 42","2026-03-12","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-13","Košice",0,NULL
"Ex 42","2026-03-13","Kysak",0,0
"Ex 42","2026-03-13","Margecany",19,19
"Ex 42","2026-03-13","Spišská Nová Ves",18,-1
"Ex 42","2026-03-13","Poprad-Tatry",16,-2
"Ex 42","2026-03-13","Štrba",16,0
"Ex 42","2026-03-13","Liptovský Mikuláš",16,0
"Ex 42","2026-03-13","Ružomberok",15,-1
"Ex 42","2026-03-13","Kraľovany",14,-1
"Ex 42","2026-03-13","Vrútky",12,-2
"Ex 42","2026-03-13","Žilina",9,-3
"Ex 42","2026-03-13","Považská Bystrica",6,-3
"Ex 42","2026-03-13","Púchov",6,0
"Ex 42","2026-03-13","Trenčín",3,-3
"Ex 42","2026-03-13","Trnava",0,-3
"Ex 42","2026-03-13","Bratislava-Vinohrady",0,0
"Ex 42","2026-03-13","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-14","Košice",0,NULL
"Ex 42","2026-03-14","Kysak",0,0
"Ex 42","2026-03-14","Margecany",0,0
"Ex 42","2026-03-14","Spišská Nová Ves",0,0
"Ex 42","2026-03-14","Poprad-Tatry",0,0
"Ex 42","2026-03-14","Štrba",0,0
"Ex 42","2026-03-14","Liptovský Mikuláš",0,0
"Ex 42","2026-03-14","Ružomberok",9,9
"Ex 42","2026-03-14","Kraľovany",9,0
"Ex 42","2026-03-14","Vrútky",53,44
"Ex 42","2026-03-14","Žilina",53,0
"Ex 42","2026-03-14","Považská Bystrica",53,0
"Ex 42","2026-03-14","Púchov",53,0
"Ex 42","2026-03-14","Trenčín",53,0
"Ex 42","2026-03-14","Trnava",50,-3
"Ex 42","2026-03-14","Bratislava-Vinohrady",48,-2
"Ex 42","2026-03-14","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-15","Košice",0,NULL
"Ex 42","2026-03-15","Kysak",10,10
"Ex 42","2026-03-15","Margecany",8,-2
"Ex 42","2026-03-15","Spišská Nová Ves",9,1
"Ex 42","2026-03-15","Poprad-Tatry",9,0
"Ex 42","2026-03-15","Štrba",9,0
"Ex 42","2026-03-15","Liptovský Mikuláš",17,8
"Ex 42","2026-03-15","Ružomberok",17,0
"Ex 42","2026-03-15","Kraľovany",14,-3
"Ex 42","2026-03-15","Vrútky",12,-2
"Ex 42","2026-03-15","Žilina",10,-2
"Ex 42","2026-03-15","Považská Bystrica",10,0
"Ex 42","2026-03-15","Púchov",7,-3
"Ex 42","2026-03-15","Trenčín",7,0
"Ex 42","2026-03-15","Trnava",6,-1
"Ex 42","2026-03-15","Bratislava-Vinohrady",5,-1
"Ex 42","2026-03-15","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-16","Košice",0,NULL
"Ex 42","2026-03-16","Kysak",0,0
"Ex 42","2026-03-16","Margecany",4,4
"Ex 42","2026-03-16","Spišská Nová Ves",1,-3
"Ex 42","2026-03-16","Poprad-Tatry",0,-1
"Ex 42","2026-03-16","Štrba",0,0
"Ex 42","2026-03-16","Liptovský Mikuláš",0,0
"Ex 42","2026-03-16","Ružomberok",0,0
"Ex 42","2026-03-16","Kraľovany",0,0
"Ex 42","2026-03-16","Vrútky",0,0
"Ex 42","2026-03-16","Žilina",0,0
"Ex 42","2026-03-16","Považská Bystrica",0,0
"Ex 42","2026-03-16","Púchov",0,0
"Ex 42","2026-03-16","Trenčín",0,0
"Ex 42","2026-03-16","Trnava",8,8
"Ex 42","2026-03-16","Bratislava-Vinohrady",7,-1
"Ex 42","2026-03-16","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-17","Košice",0,NULL
"Ex 42","2026-03-17","Kysak",0,0
"Ex 42","2026-03-17","Margecany",5,5
"Ex 42","2026-03-17","Spišská Nová Ves",3,-2
"Ex 42","2026-03-17","Poprad-Tatry",2,-1
"Ex 42","2026-03-17","Štrba",2,0
"Ex 42","2026-03-17","Liptovský Mikuláš",21,19
"Ex 42","2026-03-17","Ružomberok",18,-3
"Ex 42","2026-03-17","Kraľovany",17,-1
"Ex 42","2026-03-17","Vrútky",17,0
"Ex 42","2026-03-17","Žilina",16,-1
"Ex 42","2026-03-17","Považská Bystrica",16,0
"Ex 42","2026-03-17","Púchov",16,0
"Ex 42","2026-03-17","Trenčín",16,0
"Ex 42","2026-03-17","Trnava",15,-1
"Ex 42","2026-03-17","Bratislava-Vinohrady",14,-1
"Ex 42","2026-03-17","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-18","Košice",0,NULL
"Ex 42","2026-03-18","Kysak",0,0
"Ex 42","2026-03-18","Margecany",3,3
"Ex 42","2026-03-18","Spišská Nová Ves",1,-2
"Ex 42","2026-03-18","Poprad-Tatry",0,-1
"Ex 42","2026-03-18","Štrba",0,0
"Ex 42","2026-03-18","Liptovský Mikuláš",0,0
"Ex 42","2026-03-18","Ružomberok",0,0
"Ex 42","2026-03-18","Kraľovany",0,0
"Ex 42","2026-03-18","Vrútky",0,0
"Ex 42","2026-03-18","Žilina",0,0
"Ex 42","2026-03-18","Považská Bystrica",0,0
"Ex 42","2026-03-18","Púchov",0,0
"Ex 42","2026-03-18","Trenčín",0,0
"Ex 42","2026-03-18","Trnava",0,0
"Ex 42","2026-03-18","Bratislava-Vinohrady",0,0
"Ex 42","2026-03-18","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-19","Košice",0,NULL
"Ex 42","2026-03-19","Kysak",0,0
"Ex 42","2026-03-19","Margecany",9,9
"Ex 42","2026-03-19","Spišská Nová Ves",8,-1
"Ex 42","2026-03-19","Poprad-Tatry",5,-3
"Ex 42","2026-03-19","Štrba",5,0
"Ex 42","2026-03-19","Liptovský Mikuláš",28,23
"Ex 42","2026-03-19","Ružomberok",25,-3
"Ex 42","2026-03-19","Kraľovany",23,-2
"Ex 42","2026-03-19","Vrútky",20,-3
"Ex 42","2026-03-19","Žilina",18,-2
"Ex 42","2026-03-19","Považská Bystrica",16,-2
"Ex 42","2026-03-19","Púchov",15,-1
"Ex 42","2026-03-19","Trenčín",15,0
"Ex 42","2026-03-19","Trnava",15,0
"Ex 42","2026-03-19","Bratislava-Vinohrady",15,0
"Ex 42","2026-03-19","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-20","Košice",0,NULL
"Ex 42","2026-03-20","Kysak",0,0
"Ex 42","2026-03-20","Margecany",7,7
"Ex 42","2026-03-20","Spišská Nová Ves",6,-1
"Ex 42","2026-03-20","Poprad-Tatry",5,-1
"Ex 42","2026-03-20","Štrba",4,-1
"Ex 42","2026-03-20","Liptovský Mikuláš",4,0
"Ex 42","2026-03-20","Ružomberok",1,-3
"Ex 42","2026-03-20","Kraľovany",0,-1
"Ex 42","2026-03-20","Vrútky",8,8
"Ex 42","2026-03-20","Žilina",6,-2
"Ex 42","2026-03-20","Považská Bystrica",6,0
"Ex 42","2026-03-20","Púchov",7,1
"Ex 42","2026-03-20","Trenčín",4,-3
"Ex 42","2026-03-20","Trnava",9,5
"Ex 42","2026-03-20","Bratislava-Vinohrady",9,0
"Ex 42","2026-03-20","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-21","Košice",0,NULL
"Ex 42","2026-03-21","Kysak",0,0
"Ex 42","2026-03-21","Margecany",9,9
"Ex 42","2026-03-21","Spišská Nová Ves",8,-1
"Ex 42","2026-03-21","Poprad-Tatry",8,0
"Ex 42","2026-03-21","Štrba",7,-1
"Ex 42","2026-03-21","Liptovský Mikuláš",6,-1
"Ex 42","2026-03-21","Ružomberok",4,-2
"Ex 42","2026-03-21","Kraľovany",2,-2
"Ex 42","2026-03-21","Vrútky",0,-2
"Ex 42","2026-03-21","Žilina",0,0
"Ex 42","2026-03-21","Považská Bystrica",3,3
"Ex 42","2026-03-21","Púchov",2,-1
"Ex 42","2026-03-21","Trenčín",25,23
"Ex 42","2026-03-21","Trnava",24,-1
"Ex 42","2026-03-21","Bratislava-Vinohrady",22,-2
"Ex 42","2026-03-21","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-22","Košice",0,NULL
"Ex 42","2026-03-22","Kysak",0,0
"Ex 42","2026-03-22","Margecany",0,0
"Ex 42","2026-03-22","Spišská Nová Ves",0,0
"Ex 42","2026-03-22","Poprad-Tatry",0,0
"Ex 42","2026-03-22","Štrba",0,0
"Ex 42","2026-03-22","Liptovský Mikuláš",2,2
"Ex 42","2026-03-22","Ružomberok",2,0
"Ex 42","2026-03-22","Kraľovany",0,-2
"Ex 42","2026-03-22","Vrútky",0,0
"Ex 42","2026-03-22","Žilina",81,81
"Ex 42","2026-03-22","Považská Bystrica",79,-2
"Ex 42","2026-03-22","Púchov",76,-3
"Ex 42","2026-03-22","Trenčín",73,-3
"Ex 42","2026-03-22","Trnava",71,-2
"Ex 42","2026-03-22","Bratislava-Vinohrady",68,-3
"Ex 42","2026-03-22","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-23","Košice",0,NULL
"Ex 42","2026-03-23","Kysak",26,26
"Ex 42","2026-03-23","Margecany",26,0
"Ex 42","2026-03-23","Spišská Nová Ves",25,-1
"Ex 42","2026-03-23","Poprad-Tatry",22,-3
"Ex 42","2026-03-23","Štrba",19,-3
"Ex 42","2026-03-23","Liptovský Mikuláš",16,-3
"Ex 42","2026-03-23","Ružomberok",15,-1
"Ex 42","2026-03-23","Kraľovany",15,0
"Ex 42","2026-03-23","Vrútky",14,-1
"Ex 42","2026-03-23","Žilina",14,0
"Ex 42","2026-03-23","Považská Bystrica",13,-1
"Ex 42","2026-03-23","Púchov",10,-3
"Ex 42","2026-03-23","Trenčín",7,-3
"Ex 42","2026-03-23","Trnava",5,-2
"Ex 42","2026-03-23","Bratislava-Vinohrady",3,-2
"Ex 42","2026-03-23","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-24","Košice",0,NULL
"Ex 42","2026-03-24","Kysak",8,8
"Ex 42","2026-03-24","Margecany",7,-1
"Ex 42","2026-03-24","Spišská Nová Ves",4,-3
"Ex 42","2026-03-24","Poprad-Tatry",1,-3
"Ex 42","2026-03-24","Štrba",0,-1
"Ex 42","2026-03-24","Liptovský Mikuláš",0,0
"Ex 42","2026-03-24","Ružomberok",17,17
"Ex 42","2026-03-24","Kraľovany",17,0
"Ex 42","2026-03-24","Vrútky",16,-1
"Ex 42","2026-03-24","Žilina",16,0
"Ex 42","2026-03-24","Považská Bystrica",14,-2
"Ex 42","2026-03-24","Púchov",13,-1
"Ex 42","2026-03-24","Trenčín",12,-1
"Ex 42","2026-03-24","Trnava",12,0
"Ex 42","2026-03-24","Bratislava-Vinohrady",9,-3
"Ex 42","2026-03-24","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-25","Košice",0,NULL
"Ex 42","2026-03-25","Kysak",0,0
"Ex 42","2026-03-25","Margecany",0,0
"Ex 42","2026-03-25","Spišská Nová Ves",0,0
"Ex 42","2026-03-25","Poprad-Tatry",11,11
"Ex 42","2026-03-25","Štrba",10,-1
"Ex 42","2026-03-25","Liptovský Mikuláš",10,0
"Ex 42","2026-03-25","Ružomberok",9,-1
"Ex 42","2026-03-25","Kraľovany",8,-1
"Ex 42","2026-03-25","Vrútky",8,0
"Ex 42","2026-03-25","Žilina",16,8
"Ex 42","2026-03-25","Považská Bystrica",15,-1
"Ex 42","2026-03-25","Púchov",14,-1
"Ex 42","2026-03-25","Trenčín",11,-3
"Ex 42","2026-03-25","Trnava",10,-1
"Ex 42","2026-03-25","Bratislava-Vinohrady",7,-3
"Ex 42","2026-03-25","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-26","Košice",0,NULL
"Ex 42","2026-03-26","Kysak",0,0
"Ex 42","2026-03-26","Margecany",0,0
"Ex 42","2026-03-26","Spišská Nová Ves",0,0
"Ex 42","2026-03-26","Poprad-Tatry",0,0
"Ex 42","2026-03-26","Štrba",0,0
"Ex 42","2026-03-26","Liptovský Mikuláš",0,0
"Ex 42","2026-03-26","Ružomberok",0,0
"Ex 42","2026-03-26","Kraľovany",0,0
"Ex 42","2026-03-26","Vrútky",4,4
"Ex 42","2026-03-26","Žilina",1,-3
"Ex 42","2026-03-26","Považská Bystrica",3,2
"Ex 42","2026-03-26","Púchov",3,0
"Ex 42","2026-03-26","Trenčín",3,0
"Ex 42","2026-03-26","Trnava",3,0
"Ex 42","2026-03-26","Bratislava-Vinohrady",6,3
"Ex 42","2026-03-26","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-27","Košice",0,NULL
"Ex 42","2026-03-27","Kysak",0,0
"Ex 42","2026-03-27","Margecany",0,0
"Ex 42","2026-03-27","Spišská Nová Ves",9,9
"Ex 42","2026-03-27","Poprad-Tatry",7,-2
"Ex 42","2026-03-27","Štrba",7,0
"Ex 42","2026-03-27","Liptovský Mikuláš",7,0
"Ex 42","2026-03-27","Ružomberok",7,0
"Ex 42","2026-03-27","Kraľovany",8,1
"Ex 42","2026-03-27","Vrútky",6,-2
"Ex 42","2026-03-27","Žilina",6,0
"Ex 42","2026-03-27","Považská Bystrica",4,-2
"Ex 42","2026-03-27","Púchov",1,-3
"Ex 42","2026-03-27","Trenčín",0,-1
"Ex 42","2026-03-27","Trnava",0,0
"Ex 42","2026-03-27","Bratislava-Vinohrady",0,0
"Ex 42","2026-03-27","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-28","Košice",0,NULL
"Ex 42","2026-03-28","Kysak",0,0
"Ex 42","2026-03-28","Margecany",0,0
"Ex 42","2026-03-28","Spišská Nová Ves",0,0
"Ex 42","2026-03-28","Poprad-Tatry",0,0
"Ex 42","2026-03-28","Štrba",0,0
"Ex 42","2026-03-28","Liptovský Mikuláš",0,0
"Ex 42","2026-03-28","Ružomberok",8,8
"Ex 42","2026-03-28","Kraľovany",14,6
"Ex 42","2026-03-28","Vrútky",13,-1
"Ex 42","2026-03-28","Žilina",11,-2
"Ex 42","2026-03-28","Považská Bystrica",11,0
"Ex 42","2026-03-28","Púchov",11,0
"Ex 42","2026-03-28","Trenčín",8,-3
"Ex 42","2026-03-28","Trnava",8,0
"Ex 42","2026-03-28","Bratislava-Vinohrady",8,0
"Ex 42","2026-03-28","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-29","Košice",0,NULL
"Ex 42","2026-03-29","Kysak",0,0
"Ex 42","2026-03-29","Margecany",79,79
"Ex 42","2026-03-29","Spišská Nová Ves",76,-3
"Ex 42","2026-03-29","Poprad-Tatry",74,-2
"Ex 42","2026-03-29","Štrba",72,-2
"Ex 42","2026-03-29","Liptovský Mikuláš",70,-2
"Ex 42","2026-03-29","Ružomberok",69,-1
"Ex 42","2026-03-29","Kraľovany",68,-1
"Ex 42","2026-03-29","Vrútky",67,-1
"Ex 42","2026-03-29","Žilina",66,-1
"Ex 42","2026-03-29","Považská Bystrica",63,-3
"Ex 42","2026-03-29","Púchov",64,1
"Ex 42","2026-03-29","Trenčín",64,0
"Ex 42","2026-03-29","Trnava",63,-1
"Ex 42","2026-03-29","Bratislava-Vinohrady",60,-3
"Ex 42","2026-03-29","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-30","Košice",0,NULL
"Ex 42","2026-03-30","Kysak",7,7
"Ex 42","2026-03-30","Margecany",7,0
"Ex 42","2026-03-30","Spišská Nová Ves",5,-2
"Ex 42","2026-03-30","Poprad-Tatry",3,-2
"Ex 42","2026-03-30","Štrba",2,-1
"Ex 42","2026-03-30","Liptovský Mikuláš",4,2
"Ex 42","2026-03-30","Ružomberok",3,-1
"Ex 42","2026-03-30","Kraľovany",3,0
"Ex 42","2026-03-30","Vrútky",2,-1
"Ex 42","2026-03-30","Žilina",2,0
"Ex 42","2026-03-30","Považská Bystrica",0,-2
"Ex 42","2026-03-30","Púchov",6,6
"Ex 42","2026-03-30","Trenčín",7,1
"Ex 42","2026-03-30","Trnava",5,-2
"Ex 42","2026-03-30","Bratislava-Vinohrady",3,-2
"Ex 42","2026-03-30","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-31","Košice",8,NULL
"Ex 42","2026-03-31","Kysak",7,-1
"Ex 42","2026-03-31","Margecany",5,-2
"Ex 42","2026-03-31","Spišská Nová Ves",8,3
"Ex 42","2026-03-31","Poprad-Tatry",8,0
"Ex 42","2026-03-31","Štrba",5,-3
"Ex 42","2026-03-31","Liptovský Mikuláš",3,-2
"Ex 42","2026-03-31","Ružomberok",10,7
"Ex 42","2026-03-31","Kraľovany",9,-1
"Ex 42","2026-03-31","Vrútky",7,-2
"Ex 42","2026-03-31","Žilina",4,-3
"Ex 42","2026-03-31","Považská Bystrica",3,-1
"Ex 42","2026-03-31","Púchov",0,-3
"Ex 42","2026-03-31","Trenčín",7,7
"Ex 42","2026-03-31","Trnava",4,-3
"Ex 42","2026-03-31","Bratislava-Vinohrady",1,-3
"Ex 42","2026-03-31","Bratislava hl.st.",NULL,NULL
